"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"1394ohci","1394 OHCI Compliant Host Controller","1394 OHCI Compliant Host Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","229,376","0","","C:\Windows\system32\drivers\1394ohci.sys","4,096"
"3ware","3ware","3ware","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","81,920","0","5/18/2015 3:28:03 PM","C:\Windows\system32\drivers\3ware.sys","4,096"
"ACPI","Microsoft ACPI Driver","Microsoft ACPI Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","184,320","466,944","0","","C:\Windows\system32\drivers\ACPI.sys","24,576"
"AcpiAudioCompositorInbox","ACPI Audio Compositor Driver","ACPI Audio Compositor Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45,056","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\acpiaudiocompositor.inf_amd64_047f553a6f70b169\AcpiAudioCompositor.sys","4,096"
"AcpiDev","ACPI Devices driver","ACPI Devices driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","12,288","0","","C:\Windows\system32\drivers\AcpiDev.sys","4,096"
"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","49,152","73,728","0","","C:\Windows\system32\Drivers\acpiex.sys","4,096"
"acpipagr","ACPI Processor Aggregator Driver","ACPI Processor Aggregator Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","8,192","0","","C:\Windows\system32\DriverStore\FileRepository\acpipagr.inf_amd64_d1093347a27ff89c\acpipagr.sys","4,096"
"AcpiPmi","ACPI Power Meter Driver","ACPI Power Meter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","8,192","0","","C:\Windows\system32\DriverStore\FileRepository\acpipmi.inf_amd64_3ced06eb61dcc792\acpipmi.sys","4,096"
"acpitime","ACPI Wake Alarm Driver","ACPI Wake Alarm Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","12,288","0","","C:\Windows\system32\drivers\acpitime.sys","4,096"
"Acx01000","Acx01000","Acx01000","Kernel ","Manual","Running","OK","TRUE","FALSE","507,904","139,264","0","","C:\Windows\system32\drivers\Acx01000.sys","4,096"
"ADP80XX","ADP80XX","ADP80XX","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","1,101,824","0","4/9/2015 1:49:48 PM","C:\Windows\system32\drivers\ADP80XX.SYS","4,096"
"AFD","Ancillary Function Driver for Winsock","Ancillary Function Driver for Winsock","Kernel ","System","Running","OK","TRUE","FALSE","12,288","495,616","0","","C:\Windows\system32\drivers\afd.sys","4,096"
"afunix","afunix","afunix","Kernel ","System","Running","OK","TRUE","FALSE","28,672","12,288","0","","C:\Windows\system32\drivers\afunix.sys","4,096"
"ahcache","Application Compatibility Cache","Application Compatibility Cache","Kernel ","System","Running","OK","TRUE","FALSE","208,896","36,864","0","","C:\Windows\system32\DRIVERS\ahcache.sys","4,096"
"amdacpbus","Audio Coprocessr Driver for DSP","Audio Coprocessr Driver for DSP","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","942,080","0","11/30/2025 6:56:38 PM","C:\Windows\system32\DriverStore\FileRepository\amdacpbus.inf_amd64_1ccae5bfaf9bcadf\amdacpbus.sys","4,096"
"amdfendr","AMD Crash Defender Driver","AMD Crash Defender Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","253,952","0","2/6/2026 9:18:56 AM","C:\Windows\system32\DriverStore\FileRepository\amdfendr.inf_amd64_bea53a1d416fbcfa\amdfendr.sys","8,192"
"amdfendrmgr","AMD Crash Defender Manager Driver","AMD Crash Defender Manager Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","8,192","0","2/6/2026 9:19:11 AM","C:\Windows\system32\DriverStore\FileRepository\amdfendr.inf_amd64_bea53a1d416fbcfa\amdfendrmgr.sys","4,096"
"amdgpio2","AMD GPIO Client Driver","AMD GPIO Client Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","20,480","0","8/19/2024 11:25:33 PM","C:\Windows\system32\drivers\amdgpio2.sys","4,096"
"amdi2c","AMD I2C Controller Service","AMD I2C Controller Service","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","53,248","0","8/20/2024 5:33:09 AM","C:\Windows\system32\drivers\amdi2c.sys","4,096"
"AmdK8","AMD K8 Processor Driver","AMD K8 Processor Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","122,880","57,344","0","","C:\Windows\system32\drivers\amdk8.sys","12,288"
"AmdMicroPEP","AMD Micro PEP Device","AMD Micro PEP Device","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","200,704","0","7/29/2024 10:45:45 AM","C:\Windows\system32\drivers\AmdMicroPEP.sys","4,096"
"AmdPpkg","AMD Provisioning Packages","AMD Provisioning Packages","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","4,096","0","2/11/2025 2:00:22 AM","C:\Windows\system32\DriverStore\FileRepository\amdppkg.inf_amd64_d1a556aa4a3f57d0\AmdPpkg.sys","4,096"
"AmdPPM","AMD Processor Driver","AMD Processor Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","131,072","61,440","0","","C:\Windows\system32\drivers\amdppm.sys","12,288"
"amdpsp","AMD PSP Service","AMD PSP Service","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","24,576","0","1/27/2025 1:48:16 PM","C:\Windows\system32\drivers\amdpsp.sys","4,096"
"amdsata","amdsata","amdsata","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","61,440","0","5/14/2015 5:14:52 AM","C:\Windows\system32\drivers\amdsata.sys","4,096"
"amdsbs","amdsbs","amdsbs","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","229,376","0","12/11/2012 1:21:44 PM","C:\Windows\system32\drivers\amdsbs.sys","4,096"
"amduw23g","amduw23g","amduw23g","Kernel ","Manual","Stopped","OK","FALSE","FALSE","91,017,216","8,216,576","0","5/20/2025 12:07:14 AM","C:\Windows\system32\DriverStore\FileRepository\u0415926.inf_amd64_a394a032a0eb82e6\B415813\amdkmdag.sys","12,288"
"amduw23g-200701-6d76327a","amduw23g-200701-6d76327a","amduw23g-200701-6d76327a","Kernel ","Manual","Running","OK","TRUE","FALSE","82,767,872","7,950,336","0","5/7/2026 4:46:21 AM","C:\Windows\system32\DriverStore\FileRepository\u0200701.inf_amd64_7988a465904fc9cd\B026025\amdkmdag.sys","12,288"
"amdwps","AMD Workload Profiling Scheduling Driver","AMD Workload Profiling Scheduling Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","8,192","12,288","0","","C:\Windows\system32\drivers\amdwps.sys","4,096"
"amdxata","amdxata","amdxata","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","4,096","0","4/30/2015 5:55:35 PM","C:\Windows\system32\drivers\amdxata.sys","4,096"
"amd_dpfc","AMD_DPFC Service","AMD_DPFC Service","Kernel ","Auto","Running","OK","TRUE","FALSE","8,192","12,288","0","8/18/2024 9:14:16 PM","C:\Windows\system32\DriverStore\FileRepository\nvam.inf_amd64_f4055935b7e74c91\amd_dpfc.sys","4,096"
"AppID","AppID Driver","AppID Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","102,400","32,768","0","","C:\Windows\system32\drivers\appid.sys","8,192"
"AppleSSD","Apple Solid State Drive Device","Apple Solid State Drive Device","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","86,016","0","11/11/2019 1:24:17 PM","C:\Windows\system32\drivers\AppleSSD.sys","4,096"
"applockerfltr","Smartlocker Filter Driver","Smartlocker Filter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","12,288","0","","C:\Windows\system32\drivers\applockerfltr.sys","4,096"
"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","110,592","0","4/9/2015 12:12:07 PM","C:\Windows\system32\drivers\arcsas.sys","4,096"
"AsusPTPDrv","ASUS Precision Touch Service","ASUS Precision Touch Service","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","159,744","0","12/18/2025 11:32:04 PM","C:\Windows\system32\DriverStore\FileRepository\asusptpfilter.inf_amd64_34d437dd6153b8a7\AsusPTPFilter.sys","4,096"
"AsusSAIO","AsusSAIO","AsusSAIO","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","12,288","0","2/4/2025 7:32:25 PM","C:\Windows\system32\DriverStore\FileRepository\asussci2.inf_amd64_3642f6b2eb6cd5d1\ASUSSystemAnalysis\AsusSAIO.sys","4,096"
"AsyncMac","RAS Asynchronous Media Driver","RAS Asynchronous Media Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","24,576","0","","C:\Windows\system32\drivers\asyncmac.sys","4,096"
"atapi","IDE Channel","IDE Channel","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20,480","0","","C:\Windows\system32\drivers\atapi.sys","4,096"
"ATKWMIACPIIO","ATKWMIACPI Driver","ATKWMIACPI Driver","Kernel ","System","Running","OK","TRUE","FALSE","4,096","12,288","0","2/11/2026 11:55:23 PM","C:\Windows\system32\DriverStore\FileRepository\asussci2.inf_amd64_3642f6b2eb6cd5d1\ASUSOptimization\AsusWmiAcpi.sys","4,096"
"b06bdrv","QLogic Network Adapter VBD","QLogic Network Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","221,184","0","5/25/2016 12:03:08 AM","C:\Windows\system32\drivers\bxvbda.sys","4,096"
"bam","Background Activity Moderator Driver","Background Activity Moderator Driver","Kernel ","System","Running","OK","TRUE","FALSE","49,152","16,384","0","","C:\Windows\system32\drivers\bam.sys","4,096"
"BasicDisplay","BasicDisplay","BasicDisplay","Kernel ","System","Running","OK","TRUE","FALSE","45,056","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_9f34636ebdd89def\BasicDisplay.sys","4,096"
"BasicRender","BasicRender","BasicRender","Kernel ","System","Running","OK","TRUE","FALSE","4,096","32,768","0","","C:\Windows\system32\DriverStore\FileRepository\basicrender.inf_amd64_398debb686d62c0f\BasicRender.sys","4,096"
"bcmfn2","bcmfn2 Service","bcmfn2 Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","10/31/2016 7:09:15 PM","C:\Windows\system32\drivers\bcmfn2.sys","4,096"
"Beep","Beep","Beep","Kernel ","System","Running","OK","TRUE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\Beep.sys","4,096"
"bfs","Brokering File System","Brokering File System","File System ","Auto","Running","OK","TRUE","FALSE","4,096","94,208","0","","C:\Windows\system32\drivers\bfs.sys","4,096"
"bindflt","Windows Bind Filter Driver","Windows Bind Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","98,304","32,768","0","","C:\Windows\system32\drivers\bindflt.sys","4,096"
"bowser","Browser","Browser","File System ","Manual","Running","OK","TRUE","FALSE","77,824","32,768","0","","C:\Windows\system32\DRIVERS\bowser.sys","4,096"
"BthA2dp","Microsoft Bluetooth A2dp driver","Microsoft Bluetooth A2dp driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","81,920","380,928","0","","C:\Windows\system32\drivers\BthA2dp.sys","4,096"
"BthEnum","Bluetooth Enumerator Service","Bluetooth Enumerator Service","Kernel ","Manual","Running","OK","TRUE","FALSE","32,768","36,864","0","","C:\Windows\system32\drivers\BthEnum.sys","4,096"
"BthHFEnum","Microsoft Bluetooth Hands-Free Profile driver","Microsoft Bluetooth Hands-Free Profile driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","106,496","0","","C:\Windows\system32\drivers\bthhfenum.sys","4,096"
"BthLEEnum","Bluetooth Low Energy Driver","Bluetooth Low Energy Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","65,536","36,864","0","","C:\Windows\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","4,096"
"BthMini","Bluetooth Radio Driver","Bluetooth Radio Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","24,576","0","","C:\Windows\system32\drivers\BTHMINI.sys","4,096"
"BTHMODEM","Bluetooth Modem Communications Driver","Bluetooth Modem Communications Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","57,344","0","","C:\Windows\system32\drivers\bthmodem.sys","4,096"
"BthPan","Bluetooth Device (Personal Area Network)","Bluetooth Device (Personal Area Network)","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","106,496","0","","C:\Windows\system32\drivers\bthpan.sys","4,096"
"BTHPORT","Bluetooth Port Driver","Bluetooth Port Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","393,216","1,486,848","0","","C:\Windows\system32\drivers\BTHport.sys","8,192"
"BTHUSB","Bluetooth Radio USB Driver","Bluetooth Radio USB Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","24,576","61,440","0","","C:\Windows\system32\drivers\BTHUSB.sys","4,096"
"bttflt","Microsoft Hyper-V VHDPMEM BTT Filter","Microsoft Hyper-V VHDPMEM BTT Filter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","20,480","0","","C:\Windows\system32\drivers\bttflt.sys","4,096"
"buttonconverter","Service for Portable Device Control devices","Service for Portable Device Control devices","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","36,864","0","","C:\Windows\system32\drivers\buttonconverter.sys","4,096"
"CAD","Charge Arbitration Driver","Charge Arbitration Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","32,768","12,288","0","","C:\Windows\system32\drivers\CAD.sys","4,096"
"CDD","Canonical Display Driver","Canonical Display Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","241,664","0","","C:\Windows\system32\cdd.dll","4,096"
"cdfs","CD/DVD File System Reader","CD/DVD File System Reader","File System ","Disabled","Stopped","OK","FALSE","FALSE","69,632","16,384","0","","C:\Windows\system32\DRIVERS\cdfs.sys","4,096"
"cdrom","CD-ROM Driver","CD-ROM Driver","Kernel ","System","Running","OK","TRUE","FALSE","81,920","77,824","0","","C:\Windows\system32\drivers\cdrom.sys","4,096"
"cht4iscsi","cht4iscsi","cht4iscsi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","278,528","0","2/5/2019 5:51:31 AM","C:\Windows\system32\drivers\cht4sx64.sys","4,096"
"cht4vbd","Chelsio Virtual Bus Driver","Chelsio Virtual Bus Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","1,433,600","208,896","0","2/5/2019 5:47:51 AM","C:\Windows\system32\drivers\cht4vx64.sys","4,096"
"CimFS","CimFS","CimFS","File System ","System","Running","OK","TRUE","FALSE","12,288","180,224","0","","C:\Windows\system32\drivers\CimFS.sys","4,096"
"circlass","Consumer IR Devices","Consumer IR Devices","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","45,056","0","","C:\Windows\system32\drivers\circlass.sys","4,096"
"CldFlt","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","356,352","131,072","0","","C:\Windows\system32\drivers\cldflt.sys","8,192"
"CLFS","Common Log (CLFS)","Common Log (CLFS)","Kernel ","Boot","Running","OK","TRUE","FALSE","327,680","110,592","0","","C:\Windows\system32\drivers\CLFS.sys","4,096"
"CmBatt","Microsoft ACPI Control Method Battery Driver","Microsoft ACPI Control Method Battery Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","36,864","16,384","0","","C:\Windows\system32\drivers\CmBatt.sys","4,096"
"CNG","CNG","CNG","Kernel ","Boot","Running","OK","TRUE","FALSE","0","704,512","0","","C:\Windows\system32\Drivers\cng.sys","4,096"
"cnghwassist","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8,192","20,480","0","","C:\Windows\system32\DRIVERS\cnghwassist.sys","4,096"
"CompositeBus","Composite Bus Enumerator Driver","Composite Bus Enumerator Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","24,576","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys","4,096"
"condrv","Console Driver","Console Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","32,768","8,192","0","","C:\Windows\system32\drivers\condrv.sys","4,096"
"csaudio","Cirrus Logic SPB Amp Driver","Cirrus Logic SPB Amp Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","122,880","196,608","0","6/1/2024 6:21:00 PM","C:\Windows\system32\DriverStore\FileRepository\csaudio.inf_amd64_1711aa9be1c7d802\csaudio.sys","4,096"
"dam","Desktop Activity Moderator Driver","Desktop Activity Moderator Driver","Kernel ","System","Running","OK","TRUE","FALSE","36,864","20,480","0","","C:\Windows\system32\drivers\dam.sys","8,192"
