"DispalyName","DsiplayVersion","Publisher","InstallDate","InstallLocation"
,,"ASUSTek COMPUTER INC.",,
,,"ASUSTeK Computer Inc.","20260807",""
,,"ASUSTek COMPUTER INC.","20251115",""
,,"ASUSTek COMPUTER INC.",,
,,"ASUSTek COMPUTER INC.",,
,,"ASUSTek COMPUTER INC.",,
,,"ASUSTeK Computer Inc.","20260805","C:\Program Files (x86)\ASUS\ArmouryDevice"
,,"ASUSTeK COMPUTER INC.",,
,,"ASUSTek COMPUTER INC.",,
,,"ASUSTeK Computer Inc.",,
,,"ASUSTek COMPUTER INC. ",,
,,"ASUSTek Computer Inc.",,
