"DeviceName","Manufacturer","DriverVersion","InfName","DeviceID"
,,,,"HTREE\ROOT\0"
,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,"OneNote (Desktop)"
,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,"Microsoft Print to PDF"
"ACP HDA Node",,,,"ACP\DEVTYPE_0001&DEVREV_0000&VEN_1022&DEV_15E2&SUBSYS_10433E00&REV_62\5&2E30036E&0&01"
"ACPI Fan","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0C0B\5"
"ACPI Lid","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0C0D\4&2CA764C4&0"
"ACPI Power Button","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0C0C\AA"
"ACPI Processor Aggregator","(Standard system devices)","10.0.26100.1150","acpipagr.inf","ACPI\ACPI000C\2&DABA3FF&0"
"ACPI Processor Container Device","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\ACPI0010\1"
"ACPI Sleep Button","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0C0E\2&DABA3FF&0"
"ACPI Thermal Zone","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\THERMALZONE\TZ01"
"ACPI x64-based PC","(Standard computers)","10.0.26100.1","hal.inf","ROOT\ACPI_HAL\0000"
"AMD Audio CoProcessor","AMD","6.0.2.116","oem119.inf","PCI\VEN_1022&DEV_15E2&SUBSYS_3E001043&REV_62\4&16012499&0&0541"
"AMD Crash Defender","Advanced Micro Devices, Inc.","25.10.0.7","oem113.inf","ROOT\AMDLOG\0000"
"AMD DRTM Boot Driver","Advanced Micro Devices, Inc","1.0.19.4","oem115.inf","ACPI\DRTM0001\0"
"AMD GPIO Controller","Advanced Micro Devices, Inc","2.2.0.134","oem13.inf","ACPI\AMDI0030\0"
"AMD I2C Controller","Advanced Micro Devices, Inc.","1.2.0.126","oem14.inf","ACPI\AMDI0010\0"
"AMD I2C Controller","Advanced Micro Devices, Inc.","1.2.0.126","oem14.inf","ACPI\AMDI0010\3"
"AMD Micro PEP Device","Advanced Micro Devices, Inc.","1.0.44.0","oem16.inf","ACPI\AMDI0008\1"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\10"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\11"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\12"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\13"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\18"
"AMD Processor","Advanced Micro Devices","10.0.26100.8737","cpu.inf","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_26_MODEL_68_-_AMD_RYZEN_9_9955HX_16-CORE_PROCESSOR___________\19"
